timestamp, memory.used [MiB]
2026/05/29 03:47:34.345, 5938 MiB
2026/05/29 03:47:35.345, 5939 MiB
2026/05/29 03:47:36.347, 5943 MiB
2026/05/29 03:47:37.348, 2301 MiB
2026/05/29 03:47:38.348, 5943 MiB
2026/05/29 03:47:39.348, 2216 MiB
2026/05/29 03:47:40.349, 5939 MiB
2026/05/29 03:47:41.349, 5943 MiB
2026/05/29 03:47:42.350, 2221 MiB
2026/05/29 03:47:43.350, 5943 MiB
2026/05/29 03:47:44.350, 5939 MiB
2026/05/29 03:47:45.350, 5939 MiB
2026/05/29 03:47:46.351, 5943 MiB
2026/05/29 03:47:47.351, 5943 MiB
2026/05/29 03:47:48.351, 5943 MiB
2026/05/29 03:47:49.352, 2216 MiB
2026/05/29 03:47:50.352, 2216 MiB
2026/05/29 03:47:51.352, 2220 MiB
2026/05/29 03:47:52.353, 2220 MiB
2026/05/29 03:47:53.353, 2220 MiB
2026/05/29 03:47:54.353, 2216 MiB
2026/05/29 03:47:55.353, 2216 MiB
2026/05/29 03:47:56.354, 2216 MiB
2026/05/29 03:47:57.354, 2213 MiB
2026/05/29 03:47:58.354, 2213 MiB
2026/05/29 03:47:59.355, 2222 MiB
2026/05/29 03:48:00.355, 2222 MiB
2026/05/29 03:48:01.355, 2222 MiB
2026/05/29 03:48:02.356, 2213 MiB
2026/05/29 03:48:03.356, 2213 MiB
2026/05/29 03:48:04.356, 2222 MiB
2026/05/29 03:48:05.357, 2222 MiB
2026/05/29 03:48:06.357, 2222 MiB
2026/05/29 03:48:07.358, 2213 MiB
2026/05/29 03:48:08.358, 2213 MiB
2026/05/29 03:48:09.358, 2225 MiB
2026/05/29 03:48:10.359, 2225 MiB
2026/05/29 03:48:11.359, 2225 MiB
2026/05/29 03:48:12.359, 2216 MiB
2026/05/29 03:48:13.359, 2216 MiB
2026/05/29 03:48:14.360, 2220 MiB
2026/05/29 03:48:15.360, 2220 MiB
2026/05/29 03:48:16.360, 2220 MiB
2026/05/29 03:48:17.361, 2216 MiB
2026/05/29 03:48:18.361, 2216 MiB
2026/05/29 03:48:19.361, 2220 MiB
2026/05/29 03:48:20.362, 2220 MiB
2026/05/29 03:48:21.362, 2220 MiB
2026/05/29 03:48:22.363, 2220 MiB
2026/05/29 03:48:23.363, 2216 MiB
2026/05/29 03:48:24.364, 2220 MiB
2026/05/29 03:48:25.364, 2220 MiB
2026/05/29 03:48:26.366, 2220 MiB
2026/05/29 03:48:27.366, 2220 MiB
2026/05/29 03:48:28.366, 2216 MiB
2026/05/29 03:48:29.368, 2220 MiB
2026/05/29 03:48:30.368, 2220 MiB
2026/05/29 03:48:31.368, 2220 MiB
2026/05/29 03:48:32.369, 2221 MiB
2026/05/29 03:48:33.369, 2378 MiB
2026/05/29 03:48:34.369, 4324 MiB
2026/05/29 03:48:35.370, 4324 MiB
2026/05/29 03:48:36.370, 4324 MiB
2026/05/29 03:48:37.370, 3384 MiB
2026/05/29 03:48:38.371, 2858 MiB
2026/05/29 03:48:39.371, 2858 MiB
2026/05/29 03:48:40.371, 2862 MiB
2026/05/29 03:48:41.372, 2862 MiB
2026/05/29 03:48:42.372, 2862 MiB
2026/05/29 03:48:43.372, 2858 MiB
2026/05/29 03:48:44.373, 2858 MiB
2026/05/29 03:48:45.373, 2862 MiB
2026/05/29 03:48:46.373, 2862 MiB
2026/05/29 03:48:47.374, 2862 MiB
2026/05/29 03:48:48.374, 2858 MiB
2026/05/29 03:48:49.374, 2858 MiB
2026/05/29 03:48:50.375, 2862 MiB
2026/05/29 03:48:51.375, 2862 MiB
2026/05/29 03:48:52.376, 2862 MiB
2026/05/29 03:48:53.377, 2858 MiB
2026/05/29 03:48:54.377, 2858 MiB
2026/05/29 03:48:55.377, 2862 MiB
2026/05/29 03:48:56.378, 2862 MiB
2026/05/29 03:48:57.378, 2862 MiB
2026/05/29 03:48:58.379, 2858 MiB
2026/05/29 03:48:59.379, 2858 MiB
2026/05/29 03:49:00.380, 2862 MiB
2026/05/29 03:49:01.380, 2862 MiB
2026/05/29 03:49:02.381, 2862 MiB
2026/05/29 03:49:03.381, 2858 MiB
2026/05/29 03:49:04.381, 2858 MiB
2026/05/29 03:49:05.382, 2862 MiB
2026/05/29 03:49:06.382, 2862 MiB
2026/05/29 03:49:07.382, 2862 MiB
2026/05/29 03:49:08.383, 2858 MiB
2026/05/29 03:49:09.387, 2858 MiB
2026/05/29 03:49:10.388, 2862 MiB
2026/05/29 03:49:11.388, 2862 MiB
2026/05/29 03:49:12.390, 2862 MiB
